ID,date,day_name,month,month_name,quarter,quarter_name,year,year_name
1,4/3/19,Wednesday,4,April,2,Q2,2019,2019
2,11/17/19,Sunday,11,November,4,Q4,2019,2019
3,4/4/19,Thursday,4,April,2,Q2,2019,2019
4,9/5/19,Thursday,9,September,3,Q3,2019,2019
5,8/13/19,Tuesday,8,August,3,Q3,2019,2019
6,12/27/19,Friday,12,December,4,Q4,2019,2019
7,7/18/19,Thursday,7,July,3,Q3,2019,2019
8,8/8/19,Thursday,8,August,3,Q3,2019,2019
9,11/26/19,Tuesday,11,November,4,Q4,2019,2019
10,9/30/19,Monday,9,September,3,Q3,2019,2019
11,8/20/19,Tuesday,8,August,3,Q3,2019,2019
12,8/22/19,Thursday,8,August,3,Q3,2019,2019
13,4/18/19,Thursday,4,April,2,Q2,2019,2019
14,4/24/19,Wednesday,4,April,2,Q2,2019,2019
15,3/16/19,Saturday,3,March,1,Q1,2019,2019
16,10/20/19,Sunday,10,October,4,Q4,2019,2019
17,3/15/19,Friday,3,March,1,Q1,2019,2019
18,6/21/19,Friday,6,June,2,Q2,2019,2019
19,6/17/19,Monday,6,June,2,Q2,2019,2019
20,5/1/19,Wednesday,5,May,2,Q2,2019,2019
21,12/22/19,Sunday,12,December,4,Q4,2019,2019
22,2/1/20,Saturday,2,February,1,Q1,2020,2020
23,7/29/19,Monday,7,July,3,Q3,2019,2019
24,3/22/19,Friday,3,March,1,Q1,2019,2019
25,4/7/19,Sunday,4,April,2,Q2,2019,2019
26,2/15/19,Friday,2,February,1,Q1,2019,2019
27,7/20/19,Saturday,7,July,3,Q3,2019,2019
28,3/31/19,Sunday,3,March,1,Q1,2019,2019
29,2/28/19,Thursday,2,February,1,Q1,2019,2019
30,5/30/19,Thursday,5,May,2,Q2,2019,2019
31,11/13/19,Wednesday,11,November,4,Q4,2019,2019
32,11/29/19,Friday,11,November,4,Q4,2019,2019
33,8/12/19,Monday,8,August,3,Q3,2019,2019
34,3/13/19,Wednesday,3,March,1,Q1,2019,2019
35,1/3/20,Friday,1,January,1,Q1,2020,2020
36,12/5/19,Thursday,12,December,4,Q4,2019,2019
37,1/6/20,Monday,1,January,1,Q1,2020,2020
38,2/26/19,Tuesday,2,February,1,Q1,2019,2019
39,6/29/19,Saturday,6,June,2,Q2,2019,2019
40,6/15/19,Saturday,6,June,2,Q2,2019,2019
41,10/26/19,Saturday,10,October,4,Q4,2019,2019
42,12/23/19,Monday,12,December,4,Q4,2019,2019
43,7/13/19,Saturday,7,July,3,Q3,2019,2019
44,11/10/19,Sunday,11,November,4,Q4,2019,2019
45,10/14/19,Monday,10,October,4,Q4,2019,2019
46,5/26/19,Sunday,5,May,2,Q2,2019,2019
47,6/15/19,Saturday,6,June,2,Q2,2019,2019
48,10/11/19,Friday,10,October,4,Q4,2019,2019
49,7/15/19,Monday,7,July,3,Q3,2019,2019
50,12/24/19,Tuesday,12,December,4,Q4,2019,2019
51,6/21/19,Friday,6,June,2,Q2,2019,2019
52,7/2/19,Tuesday,7,July,3,Q3,2019,2019
53,11/4/19,Monday,11,November,4,Q4,2019,2019
54,9/18/19,Wednesday,9,September,3,Q3,2019,2019
55,2/5/20,Wednesday,2,February,1,Q1,2020,2020
56,7/1/19,Monday,7,July,3,Q3,2019,2019
57,10/9/19,Wednesday,10,October,4,Q4,2019,2019
58,11/25/19,Monday,11,November,4,Q4,2019,2019
59,4/25/19,Thursday,4,April,2,Q2,2019,2019
60,4/10/19,Wednesday,4,April,2,Q2,2019,2019
61,9/5/19,Thursday,9,September,3,Q3,2019,2019
62,11/30/19,Saturday,11,November,4,Q4,2019,2019
63,9/9/19,Monday,9,September,3,Q3,2019,2019
64,4/10/19,Wednesday,4,April,2,Q2,2019,2019
65,1/10/20,Friday,1,January,1,Q1,2020,2020
66,11/29/19,Friday,11,November,4,Q4,2019,2019
67,6/27/19,Thursday,6,June,2,Q2,2019,2019
68,6/9/19,Sunday,6,June,2,Q2,2019,2019
69,3/10/19,Sunday,3,March,1,Q1,2019,2019
70,12/3/19,Tuesday,12,December,4,Q4,2019,2019
71,4/20/19,Saturday,4,April,2,Q2,2019,2019
72,7/3/19,Wednesday,7,July,3,Q3,2019,2019
73,7/31/19,Wednesday,7,July,3,Q3,2019,2019
74,2/3/19,Sunday,2,February,1,Q1,2019,2019
75,1/5/20,Sunday,1,January,1,Q1,2020,2020
76,7/2/19,Tuesday,7,July,3,Q3,2019,2019
77,6/20/19,Thursday,6,June,2,Q2,2019,2019
78,1/29/20,Wednesday,1,January,1,Q1,2020,2020
79,5/10/19,Friday,5,May,2,Q2,2019,2019
80,6/7/19,Friday,6,June,2,Q2,2019,2019
81,2/25/19,Monday,2,February,1,Q1,2019,2019
82,3/15/19,Friday,3,March,1,Q1,2019,2019
83,4/13/19,Saturday,4,April,2,Q2,2019,2019
84,5/24/19,Friday,5,May,2,Q2,2019,2019
85,10/3/19,Thursday,10,October,4,Q4,2019,2019
86,4/6/19,Saturday,4,April,2,Q2,2019,2019
87,5/29/19,Wednesday,5,May,2,Q2,2019,2019
88,9/17/19,Tuesday,9,September,3,Q3,2019,2019
89,6/12/19,Wednesday,6,June,2,Q2,2019,2019
90,10/30/19,Wednesday,10,October,4,Q4,2019,2019
91,6/27/19,Thursday,6,June,2,Q2,2019,2019
92,9/29/19,Sunday,9,September,3,Q3,2019,2019
93,7/15/19,Monday,7,July,3,Q3,2019,2019
94,4/16/19,Tuesday,4,April,2,Q2,2019,2019
95,11/21/19,Thursday,11,November,4,Q4,2019,2019
96,6/7/19,Friday,6,June,2,Q2,2019,2019
97,11/17/19,Sunday,11,November,4,Q4,2019,2019
98,5/14/19,Tuesday,5,May,2,Q2,2019,2019
99,3/31/19,Sunday,3,March,1,Q1,2019,2019
100,8/1/19,Thursday,8,August,3,Q3,2019,2019
101,11/15/19,Friday,11,November,4,Q4,2019,2019
102,7/26/19,Friday,7,July,3,Q3,2019,2019
103,8/30/19,Friday,8,August,3,Q3,2019,2019
104,12/19/19,Thursday,12,December,4,Q4,2019,2019
105,3/10/19,Sunday,3,March,1,Q1,2019,2019
106,12/8/19,Sunday,12,December,4,Q4,2019,2019
