Sale_ID,Customer_ID,Promotion_ID,Total,Payment,Date_ID,Product_line_ID,Quantity,Unit_Price
649-29-6775,CUST027,0,35.196,Cash,592,1,1,33.52
649-29-6775,CUST027,0,35.196,Cash,979,1,1,33.52
649-29-6775,CUST027,0,35.196,Cash,953,1,1,33.52
232-16-2483,CUST036,1,71.526,Ewallet,28,1,1,68.12
232-16-2483,CUST036,1,71.526,Ewallet,145,1,1,68.12
232-16-2483,CUST036,1,71.526,Ewallet,917,1,1,68.12
232-16-2483,CUST036,1,71.526,Ewallet,491,1,1,68.12
232-16-2483,CUST036,1,71.526,Ewallet,99,1,1,68.12
280-35-5823,CUST041,0,91.056,Ewallet,310,1,1,86.72
280-35-5823,CUST041,0,91.056,Ewallet,808,1,1,86.72
280-35-5823,CUST041,0,91.056,Ewallet,595,1,1,86.72
280-35-5823,CUST041,0,91.056,Ewallet,58,1,1,86.72
778-71-5554,CUST054,3,16.2015,Credit card,701,1,1,15.43
382-03-4532,CUST070,5,19.2465,Cash,429,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,623,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,396,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,262,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,764,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,334,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,185,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,438,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,104,1,1,18.33
382-03-4532,CUST070,5,19.2465,Cash,676,1,1,18.33
504-35-8843,CUST089,0,44.5935,Cash,286,1,1,42.47
504-35-8843,CUST089,0,44.5935,Cash,657,1,1,42.47
512-91-0811,CUST095,0,94.2375,Credit card,600,1,1,89.75
512-91-0811,CUST095,0,94.2375,Credit card,304,1,1,89.75
512-91-0811,CUST095,0,94.2375,Credit card,952,1,1,89.75
594-34-4444,CUST096,0,102.018,Ewallet,234,1,1,97.16
594-34-4444,CUST096,0,102.018,Ewallet,79,1,1,97.16
