Sale_details_ID,Sale_ID,Product_line_id,Quantity,Unit_price,Tax 5%
1,750-67-8428,1,7,74.69,26.1415
2,226-31-3081,1,5,15.28,3.82
3,631-41-3108,1,7,46.33,16.2155
4,123-19-1176,1,8,58.22,23.288
5,373-73-7910,1,7,86.31,30.2085
6,699-14-3026,1,7,85.39,29.8865
7,355-53-5943,1,6,68.84,20.652
8,315-22-5665,1,10,73.56,36.78
9,665-32-9167,1,2,36.26,3.626
10,692-92-5582,1,3,54.84,8.226
11,351-62-0822,1,4,14.48,2.896
12,529-56-3974,1,4,25.51,5.102
13,365-64-0515,1,5,46.95,11.7375
14,252-56-2699,1,10,43.19,21.595
15,829-34-3910,1,10,71.38,35.69
16,299-46-1805,1,6,93.72,28.116
17,656-95-9349,1,7,68.93,24.1255
18,765-26-6951,1,6,72.61,21.783
19,329-62-1586,1,3,54.67,8.2005
20,319-50-3348,1,2,40.3,4.03
21,300-71-4605,1,5,86.04,21.51
22,371-85-5789,1,3,87.98,13.197
23,273-16-6619,1,2,33.2,3.32
24,636-48-8204,1,5,34.56,8.64
25,549-59-1358,1,3,88.63,13.2945
26,227-03-5010,1,8,52.59,21.036
27,649-29-6775,1,1,33.52,1.676
28,189-17-4241,1,2,87.67,8.767
29,145-94-9061,1,5,88.36,22.09
30,848-62-7243,1,9,24.89,11.2005
31,871-79-8483,1,5,94.13,23.5325
32,149-71-6266,1,9,78.07,35.1315
33,640-49-2076,1,8,83.78,33.512
34,595-11-5460,1,2,96.58,9.658
35,183-56-6882,1,4,99.42,19.884
36,232-16-2483,1,1,68.12,3.406
37,129-29-8530,1,5,62.62,15.655
38,272-65-1806,1,9,60.88,27.396
39,333-73-7901,1,8,54.92,21.968
40,777-82-7220,1,8,30.12,12.048
41,280-35-5823,1,1,86.72,4.336
42,554-53-8700,1,2,56.11,5.611
43,354-25-5821,1,6,69.12,20.736
44,228-96-1411,1,8,98.7,39.48
45,617-15-4209,1,2,15.37,1.537
46,132-32-9879,1,4,93.96,18.792
47,370-41-7321,1,9,56.69,25.5105
48,727-46-3608,1,9,20.01,9.0045
49,669-54-1719,1,6,18.93,5.679
50,574-22-5561,1,10,82.63,41.315
51,326-78-5178,1,7,91.4,31.99
52,162-48-8011,1,5,44.59,11.1475
53,616-24-2851,1,4,17.87,3.574
54,778-71-5554,1,1,15.43,0.7715
55,242-55-6721,1,2,16.16,1.616
56,399-46-5918,1,8,85.98,34.392
57,106-35-6779,1,2,44.34,4.434
58,635-40-6220,1,8,89.6,35.84
59,817-48-8732,1,10,72.35,36.175
60,120-06-4233,1,6,30.61,9.183
61,285-68-5083,1,3,24.74,3.711
62,803-83-5989,1,6,55.73,16.719
63,347-34-2234,1,9,55.07,24.7815
64,199-75-8169,1,10,15.81,7.905
65,853-23-2453,1,4,75.74,15.148
66,877-22-3308,1,10,15.87,7.935
67,838-78-4295,1,2,33.47,3.347
68,109-28-2512,1,6,97.61,29.283
69,232-11-3025,1,10,78.77,39.385
70,382-03-4532,1,1,18.33,0.9165
71,393-65-2792,1,10,89.48,44.74
72,796-12-2025,1,10,62.12,31.06
73,510-95-6347,1,3,48.52,7.278
74,841-35-6630,1,6,75.91,22.773
75,287-21-9091,1,9,74.67,33.6015
76,732-94-0499,1,10,41.65,20.825
77,263-10-3913,1,9,49.04,22.068
78,381-20-0914,1,9,20.01,9.0045
79,829-49-1914,1,10,78.31,39.155
80,756-01-7507,1,5,20.38,5.095
81,870-72-4431,1,6,99.19,29.757
82,847-38-7188,1,3,96.68,14.502
83,480-63-2856,1,8,19.25,7.7
84,787-56-0757,1,4,80.36,16.072
85,360-39-5055,1,5,48.91,12.2275
86,730-50-9884,1,7,83.06,29.071
87,362-58-8315,1,5,76.52,19.13
88,633-44-8566,1,7,49.38,17.283
89,504-35-8843,1,1,42.47,2.1235
90,318-68-5053,1,6,76.99,23.097
91,565-80-5980,1,4,47.38,9.476
92,225-32-0908,1,10,44.86,22.43
93,873-51-0671,1,7,21.98,7.693
94,152-08-9985,1,9,64.36,28.962
95,512-91-0811,1,1,89.75,4.4875
96,594-34-4444,1,1,97.16,4.858
97,766-85-7061,1,10,87.87,43.935
98,871-39-9221,1,6,12.45,3.735
99,865-92-6136,1,3,52.75,7.9125
100,733-01-9107,1,6,82.7,24.81
101,163-56-7055,1,1,48.71,2.4355
102,189-98-2939,1,9,78.55,35.3475
103,551-21-3069,1,9,23.07,10.3815
104,212-62-1842,1,6,58.26,17.478
105,716-39-1409,1,7,30.35,10.6225
106,704-48-3927,1,10,88.67,44.335
107,628-34-3388,1,6,27.38,8.214
108,630-74-5166,1,6,62.13,18.639
109,588-01-7461,1,9,33.98,15.291
110,861-77-0145,1,10,81.97,40.985
111,479-26-8945,1,2,16.49,1.649
112,210-67-5886,1,3,98.21,14.7315
113,227-78-1148,1,7,72.84,25.494
114,645-44-1170,1,9,58.07,26.1315
115,237-01-6122,1,9,80.79,36.3555
116,225-98-1496,1,3,27.02,4.053
117,291-32-1427,1,5,21.94,5.485
118,659-65-8956,1,1,51.36,2.568
119,642-32-2990,1,10,10.96,5.48
120,378-24-2715,1,2,53.44,5.344
121,638-60-7125,1,8,99.56,39.824
122,659-36-1684,1,7,57.12,19.992
123,219-22-9386,1,9,99.96,44.982
124,336-78-2147,1,8,63.91,25.564
125,268-27-6179,1,8,56.47,22.588
126,668-90-8900,1,7,93.69,32.7915
127,870-54-3162,1,5,32.25,8.0625
128,189-08-9157,1,9,31.73,14.2785
129,663-86-9076,1,8,68.54,27.416
130,549-84-7482,1,9,90.28,40.626
131,191-10-6171,1,7,39.62,13.867
132,802-70-5316,1,6,92.13,27.639
133,695-51-0018,1,4,34.84,6.968
134,590-83-4591,1,6,87.45,26.235
135,483-71-1164,1,6,81.3,24.39
136,597-78-7908,1,3,90.22,13.533
137,700-81-1757,1,5,26.31,6.5775
138,354-39-5160,1,6,34.42,10.326
139,241-72-9525,1,10,51.91,25.955
140,575-30-8091,1,8,72.5,29
141,731-81-9469,1,10,89.8,44.9
142,280-17-4359,1,10,90.5,45.25
143,338-65-2210,1,10,68.6,34.3
144,488-25-4221,1,1,30.41,1.5205
145,239-10-7476,1,6,77.95,23.385
146,458-41-1477,1,6,46.26,13.878
147,685-64-1609,1,10,30.14,15.07
148,568-90-5112,1,4,66.14,13.228
149,262-47-2794,1,8,71.86,28.744
150,238-49-0436,1,8,32.46,12.984
151,608-96-3517,1,4,91.54,18.308
152,584-86-7256,1,7,34.56,12.096
153,746-94-0204,1,9,83.24,37.458
154,214-17-6927,1,6,16.48,4.944
155,400-89-4171,1,8,80.97,32.388
156,782-95-9291,1,5,92.29,23.0725
157,279-74-2924,1,1,72.17,3.6085
158,307-85-2293,1,5,50.28,12.57
159,743-04-1105,1,9,97.22,43.749
160,423-57-2993,1,6,93.39,28.017
161,894-41-5205,1,8,43.18,17.272
162,275-28-0149,1,1,63.69,3.1845
163,101-17-6199,1,7,45.79,16.0265
164,423-80-0988,1,2,76.4,7.64
165,548-46-9322,1,10,39.9,19.95
166,505-02-0892,1,8,42.57,17.028
