Sale_ID,Date,Customer_ID,Total,Payment,Promotion_ID
346-12-3257,2019-10-07,CUST400,181.818,Cash,0
462-67-9126,2019-01-25,CUST364,461.286,Cash,0
565-80-5980,2019-01-25,CUST091,198.996,Cash,0
597-78-7908,2019-10-08,CUST136,284.193,Cash,0
834-25-9262,2019-10-08,CUST366,343.056,Cash,0
200-16-5952,2019-10-09,CUST775,137.865,Cash,0
533-33-5337,2019-10-09,CUST458,833.595,Cash,0
466-61-5506,2019-10-11,CUST229,571.41,Cash,0
660-29-7083,2019-01-31,CUST839,586.635,Cash,0
870-54-3162,2019-01-31,CUST127,169.3125,Cash,0
326-71-2155,2019-10-14,CUST463,310.59,Cash,0
299-46-1805,2019-02-04,CUST016,590.436,Cash,0
651-88-7328,2019-10-19,CUST568,621.243,Cash,0
210-57-1719,2019-10-20,CUST553,550.368,Cash,0
532-59-7201,2019-02-07,CUST311,503.559,Cash,0
234-65-2137,2019-10-21,CUST167,1003.59,Cash,0
709-58-4068,2019-10-22,CUST487,431.445,Cash,0
577-34-7579,2019-10-24,CUST957,477.1305,Cash,0
745-71-3520,2019-10-24,CUST420,185.367,Cash,0
655-85-5130,2019-10-25,CUST263,160.86,Cash,0
841-35-6630,2019-10-25,CUST074,478.233,Cash,0
340-21-9136,2019-02-12,CUST472,168.21,Cash,0
784-08-0310,2019-02-12,CUST954,88.368,Cash,0
324-92-3863,2019-10-26,CUST962,43.869,Cash,0
443-82-0585,2019-02-13,CUST582,326.256,Cash,0
800-09-8606,2019-02-14,CUST696,458.6925,Cash,0
389-70-2397,2019-10-28,CUST891,439.215,Cash,0
585-11-6748,2019-10-28,CUST595,304.92,Cash,0
162-48-8011,2019-02-15,CUST052,234.0975,Cash,0
244-08-0162,2019-10-29,CUST411,359.205,Cash,0
318-81-2368,2019-11-02,CUST638,48.51,Cash,0
548-48-3156,2019-11-02,CUST885,175.014,Cash,0
525-88-7307,2019-02-20,CUST386,79.611,Cash,0
817-48-8732,2019-11-03,CUST059,759.675,Cash,0
275-28-0149,2019-11-03,CUST162,66.8745,Cash,0
846-10-0341,2019-11-04,CUST956,312.8895,Cash,0
125-45-2293,2019-11-04,CUST850,624.33,Cash,0
423-64-4619,2019-11-05,CUST314,146.9475,Cash,0
124-31-1458,2019-11-05,CUST865,250.7085,Cash,0
687-15-1097,2019-02-25,CUST272,44.352,Cash,0
307-83-9164,2019-02-25,CUST299,252.042,Cash,0
364-33-8584,2019-11-08,CUST639,92.5575,Cash,0
